Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Moonee Ponds,9 Corio St,3,h,1670000.0,S,Brad,8/04/2017,6.9,3039.0,3.0,2.0,2.0,803.0,166.0,1915.0,Moonee Valley,-37.7627,144.9047,Western Metropolitan,6232.0
Reservoir,32A Broadhurst Av,4,h,1210000.0,S,Barry,12/08/2017,12.0,3073.0,4.0,3.0,4.0,725.0,,,Darebin,-37.70833,145.0045,Northern Metropolitan,21650.0
Fawkner,6 Brockley Rd,2,h,575000.0,S,Stockdale,27/06/2016,12.4,3060.0,2.0,1.0,2.0,621.0,109.0,1960.0,Moreland,-37.7164,144.9666,Northern Metropolitan,5070.0
Sunshine,10 Yewers St,3,h,692000.0,S,FN,29/04/2017,12.6,3020.0,3.0,1.0,1.0,485.0,,,Brimbank,-37.7868,144.8428,Western Metropolitan,3755.0
Thornbury,145 Shaftesbury Pde,3,h,1195000.0,S,Love,8/04/2017,6.5,3071.0,3.0,1.0,2.0,463.0,131.0,1930.0,Darebin,-37.7593,144.9885,Northern Metropolitan,8870.0
Glen Iris,3 Fairview Gr,5,h,3365000.0,S,RT,28/05/2016,9.2,3146.0,5.0,2.0,2.0,1339.0,270.0,1925.0,Stonnington,-37.8649,145.0547,Southern Metropolitan,10412.0
Clifton Hill,21 Gordon St,2,h,1320000.0,S,Collins,9/09/2017,3.6,3068.0,2.0,1.0,1.0,191.0,,1890.0,,-37.79158,144.99586000000005,Northern Metropolitan,2954.0
Gladstone Park,7 Dudley Ct,3,h,625000.0,SP,Barry,9/09/2017,12.9,3043.0,3.0,2.0,4.0,578.0,,,,-37.68899,144.88273,Western Metropolitan,3285.0
Moonee Ponds,1 Athol St,4,h,1350000.0,PI,Brad,10/09/2016,6.9,3039.0,4.0,2.0,2.0,447.0,,1880.0,Moonee Valley,-37.7704,144.9199,Western Metropolitan,6232.0
West Footscray,4/8 Margot St,2,h,470000.0,SP,Greg,6/05/2017,8.2,3012.0,2.0,1.0,1.0,0.0,77.0,1975.0,Maribyrnong,-37.8088,144.8715,Western Metropolitan,5058.0
Camberwell,4/26 Cornell St,2,h,706000.0,S,Fletchers,28/08/2016,7.8,3124.0,2.0,1.0,1.0,95.0,,1960.0,Boroondara,-37.8399,145.0912,Southern Metropolitan,8920.0
Bentleigh East,17a Edinburgh St,3,t,830000.0,PI,Buxton,4/06/2016,13.9,3165.0,0.0,2.0,2.0,292.0,141.0,2012.0,Glen Eira,-37.9168,145.069,Southern Metropolitan,10969.0
Brighton,1/141 South Rd,3,h,1240000.0,PI,hockingstuart,29/07/2017,10.5,3186.0,3.0,2.0,2.0,206.0,,,Bayside,-37.92894,145.00341,Southern Metropolitan,10579.0
Yarraville,10/51 Stephen St,2,u,397000.0,S,Village,13/05/2017,7.0,3013.0,2.0,1.0,1.0,0.0,68.0,1975.0,Maribyrnong,-37.8128,144.8953,Western Metropolitan,6543.0
Sunshine,36 Matthews St,5,h,895000.0,PI,Barry,7/05/2016,12.6,3020.0,4.0,2.0,2.0,690.0,,,Brimbank,-37.7933,144.8408,Western Metropolitan,3755.0
Brighton,17 Rusden St,4,h,1500000.0,VB,Hodges,30/07/2016,11.2,3186.0,3.0,2.0,1.0,549.0,195.0,1990.0,Bayside,-37.8869,144.9982,Southern Metropolitan,10579.0
Hawthorn East,501/38 Harold St,2,u,705000.0,PI,Marshall,18/03/2017,7.5,3123.0,2.0,2.0,1.0,78.0,,2011.0,Boroondara,-37.8284,145.0535,Southern Metropolitan,6482.0
Glen Huntly,27 Augusta St,5,h,2575000.0,S,Gary,22/08/2016,10.4,3163.0,5.0,3.0,2.0,688.0,347.0,1910.0,Glen Eira,-37.8921,145.0381,Southern Metropolitan,2403.0
Parkville,187 Park Dr,3,h,2236000.0,S,Collins,27/06/2016,2.6,3052.0,4.0,2.0,1.0,154.0,196.0,1890.0,Melbourne,-37.7934,144.9562,Northern Metropolitan,2309.0
Thomastown,37 Smith Av,3,h,715500.0,S,Love,22/07/2017,15.3,3074.0,3.0,1.0,2.0,685.0,,,Whittlesea,-37.68107,145.03393,Northern Metropolitan,7955.0
Springvale South,5 Gwent St,3,h,700000.0,PI,iSell,22/07/2017,22.2,3172.0,3.0,1.0,2.0,638.0,105.0,1980.0,Greater Dandenong,-37.98031,145.15497,South-Eastern Metropolitan,4054.0
Reservoir,1/21 Dumbarton St,3,u,475000.0,S,Ray,3/09/2016,11.2,3073.0,3.0,1.0,1.0,191.0,107.0,1990.0,Darebin,-37.7019,145.0256,Northern Metropolitan,21650.0
Glen Waverley,24 Florence St,3,h,1900000.0,PI,Harcourts,17/06/2017,16.7,3150.0,3.0,1.0,0.0,738.0,,,Monash,-37.88351,145.15714,Eastern Metropolitan,15321.0
Brunswick,98 Evans St,3,h,1060000.0,S,Nelson,12/11/2016,5.2,3056.0,3.0,1.0,0.0,257.0,121.0,1935.0,Moreland,-37.7704,144.9695,Northern Metropolitan,11918.0
Maribyrnong,2/6 Horizon Dr,2,u,585000.0,S,Brad,3/06/2017,4.3,3032.0,2.0,2.0,2.0,37000.0,90.0,2004.0,Maribyrnong,-37.77518,144.89254,Western Metropolitan,4918.0
Murrumbeena,9/14 Wahroongaa Cr,3,t,956000.0,S,Woodards,15/07/2017,10.1,3163.0,3.0,2.0,1.0,137.0,137.0,1994.0,Glen Eira,-37.887,145.07303000000005,Southern Metropolitan,4442.0
Blackburn,2A Kerr St,3,t,881000.0,S,Jellis,19/08/2017,13.4,3130.0,3.0,1.0,1.0,300.0,,,,-37.81156,145.14057,Eastern Metropolitan,5713.0
St Kilda,13/60 Carlisle St,1,u,420000.0,S,Cayzer,22/05/2016,6.1,3182.0,1.0,1.0,1.0,0.0,,,Port Phillip,-37.8674,144.9839,Southern Metropolitan,13240.0
Brighton,823 Hampton St,4,h,2475000.0,VB,Marshall,19/11/2016,11.2,3186.0,4.0,2.0,2.0,605.0,274.0,1920.0,Bayside,-37.916,145.0064,Southern Metropolitan,10579.0
Elwood,3/58 Byron St,1,u,340000.0,SP,Buxton,27/06/2016,7.7,3184.0,1.0,1.0,1.0,0.0,42.0,1970.0,Port Phillip,-37.8784,144.9864,Southern Metropolitan,8989.0
Carlton,205/37 Palmerston St,2,u,600000.0,PI,Woodards,22/05/2016,1.8,3053.0,2.0,2.0,1.0,0.0,67.0,2013.0,Melbourne,-37.7969,144.9742,Northern Metropolitan,6786.0
Balwyn,112 Belmore Rd,5,h,2570000.0,PI,RT,3/12/2016,9.7,3103.0,5.0,3.0,2.0,715.0,420.0,2009.0,Boroondara,-37.8028,145.0768,Southern Metropolitan,5682.0
Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,10/12/2016,3.3,3206.0,2.0,1.0,0.0,240.0,,,Port Phillip,-37.8379,144.9539,Southern Metropolitan,3280.0
Brunswick,57 Edward St,3,h,1200000.0,S,Nelson,3/09/2017,5.2,3056.0,3.0,2.0,1.0,249.0,,,,-37.77394,144.96317,Northern Metropolitan,11918.0
Sunshine West,32 Killara St,3,h,716000.0,S,Barry,6/05/2017,13.5,3020.0,3.0,1.0,1.0,534.0,120.0,1975.0,Brimbank,-37.7886,144.821,Western Metropolitan,6763.0
Essendon,3/7 Violet St,2,u,390000.0,VB,Nelson,18/06/2016,8.0,3040.0,2.0,1.0,1.0,0.0,66.0,1970.0,Moonee Valley,-37.7554,144.9127,Western Metropolitan,9264.0
Oakleigh South,14 Bossington St,3,h,981000.0,S,Buxton,3/12/2016,14.7,3167.0,3.0,1.0,2.0,646.0,,,Monash,-37.9167,145.0855,South-Eastern Metropolitan,3692.0
Malvern East,51 Tooronga Rd,3,h,1780000.0,S,Marshall,3/06/2017,8.4,3145.0,3.0,2.0,2.0,580.0,146.0,1930.0,Stonnington,-37.8683,145.03909,Southern Metropolitan,8801.0
Bentleigh,1/30 Daley St,2,h,855000.0,SP,Marshall,10/12/2016,13.0,3204.0,2.0,1.0,1.0,296.0,103.0,1940.0,Glen Eira,-37.9243,145.0376,Southern Metropolitan,6795.0
Hampton,3/13 Foam St,2,u,786000.0,S,Buxton,13/08/2016,13.7,3188.0,2.0,1.0,1.0,162.0,,1970.0,Bayside,-37.9379,145.0061,Southern Metropolitan,5454.0
Strathmore,2/13 Fenacre St,3,h,622500.0,S,Barry,16/07/2016,9.7,3041.0,3.0,2.0,2.0,254.0,127.0,2004.0,Moonee Valley,-37.7302,144.9167,Western Metropolitan,3284.0
Wantirna South,1 Riverpark Dr,4,h,1055000.0,S,Ray,8/07/2017,14.7,3152.0,4.0,2.0,2.0,652.0,203.0,1997.0,Knox,-37.87325,145.23244,Eastern Metropolitan,7082.0
Ascot Vale,58 Fenton St,4,h,1340000.0,S,Nelson,14/05/2016,5.9,3032.0,3.0,2.0,2.0,683.0,232.0,1978.0,Moonee Valley,-37.775,144.93200000000004,Western Metropolitan,6567.0
Frankston,50 Towerhill Rd,4,h,755000.0,S,Ray,15/07/2017,38.0,3199.0,4.0,1.0,1.0,622.0,163.0,1960.0,Frankston,-38.16146,145.12997,South-Eastern Metropolitan,17055.0
Kew East,29 Elm Gr,3,h,1655000.0,SA,RT,9/09/2017,7.3,3102.0,3.0,2.0,1.0,822.0,,,,-37.78896,145.04728,Southern Metropolitan,2671.0
Maribyrnong,3 Valnere St,4,h,940000.0,SP,Biggin,7/05/2016,8.7,3032.0,4.0,2.0,1.0,516.0,,,Maribyrnong,-37.7839,144.8853,Western Metropolitan,4918.0
Brighton,15 Loller St,3,t,2517500.0,SP,Marshall,18/03/2017,11.2,3186.0,3.0,3.0,2.0,311.0,,,Bayside,-37.9148,145.0009,Southern Metropolitan,10579.0
Ivanhoe,2/80 Marshall St,2,u,475000.0,SP,Miles,12/11/2016,7.9,3079.0,2.0,1.0,1.0,0.0,,1960.0,Banyule,-37.7707,145.0471,Eastern Metropolitan,5549.0
Essendon,7/18 Raleigh St,2,u,457000.0,S,Barry,22/08/2016,8.0,3040.0,2.0,1.0,1.0,0.0,,,Moonee Valley,-37.7534,144.9242,Western Metropolitan,9264.0
Balwyn North,15 Maughan Pde,5,h,1660000.0,PI,hockingstuart,28/05/2016,9.2,3104.0,4.0,3.0,2.0,737.0,193.0,1950.0,Boroondara,-37.7975,145.0961,Southern Metropolitan,7809.0
Toorak,7/36 Grange Rd,1,u,541000.0,S,Jellis,15/10/2016,4.6,3142.0,1.0,1.0,1.0,0.0,57.0,1970.0,Stonnington,-37.8373,145.0116,Southern Metropolitan,7217.0
Parkville,28/238 The Avenue,3,u,1403000.0,S,Nelson,27/11/2016,2.6,3052.0,3.0,2.0,2.0,2401.0,132.0,1980.0,Melbourne,-37.7818,144.9576,Northern Metropolitan,2309.0
Balwyn,17 Birdwood St,1,h,2100000.0,PI,hockingstuart,17/06/2017,7.9,3103.0,1.0,1.0,1.0,678.0,303.0,2016.0,Boroondara,-37.80292,145.06423999999996,Southern Metropolitan,5682.0
Northcote,12/20 Ross St,1,u,435000.0,S,Nelson,10/09/2016,5.5,3070.0,1.0,1.0,2.0,0.0,55.0,1970.0,Darebin,-37.7842,144.9991,Northern Metropolitan,11364.0
Kew,11/26 Edgevale Rd,2,t,955000.0,S,Jellis,23/09/2017,5.4,3101.0,2.0,1.0,1.0,2835.0,100.0,1970.0,,-37.81439,145.04237,Southern Metropolitan,10331.0
Glen Iris,2 Vincent St,5,h,3730000.0,PI,Abercromby's,3/09/2016,9.2,3146.0,4.0,3.0,2.0,919.0,353.0,1925.0,Stonnington,-37.8637,145.0438,Southern Metropolitan,10412.0
South Yarra,16/384 Toorak Rd,2,u,550000.0,S,hockingstuart,14/05/2016,3.3,3141.0,2.0,1.0,1.0,0.0,,,Stonnington,-37.8406,145.0035,Southern Metropolitan,14887.0
Burwood,29 Meldan St,2,h,1350000.0,S,Fletchers,16/04/2016,11.7,3125.0,2.0,1.0,2.0,593.0,82.0,1950.0,Whitehorse,-37.8444,145.1054,Southern Metropolitan,5678.0
Glenroy,3/42 Harold St,2,u,435000.0,S,Nelson,22/07/2017,11.2,3046.0,2.0,1.0,1.0,144.0,73.0,2010.0,Moreland,-37.70628,144.92379,Northern Metropolitan,8870.0
Pascoe Vale,1 Virginia St,4,h,780000.0,VB,Brad,1/07/2017,8.5,3044.0,4.0,2.0,3.0,555.0,128.0,1950.0,Moreland,-37.71561,144.94336,Northern Metropolitan,7485.0
Werribee,15 Retreat Pl,4,h,645000.0,S,YPA,1/07/2017,14.7,3030.0,4.0,2.0,2.0,702.0,,,Wyndham,-37.8967,144.65264,Western Metropolitan,16166.0
Brunswick,311 Albion St,3,h,825000.0,S,Nelson,16/04/2016,5.2,3056.0,3.0,1.0,1.0,210.0,130.0,1900.0,Moreland,-37.7597,144.9545,Northern Metropolitan,11918.0
Essendon,82 Price St,3,h,1226000.0,S,Nelson,10/12/2016,8.0,3040.0,3.0,1.0,3.0,533.0,125.0,1955.0,Moonee Valley,-37.7462,144.8953,Western Metropolitan,9264.0
Brunswick,141 Edward St,3,h,1505000.0,S,Jellis,27/05/2017,5.2,3056.0,3.0,1.0,1.0,349.0,,,Moreland,-37.7744,144.96753,Northern Metropolitan,11918.0
Aberfeldie,2 Derry St,4,h,1740000.0,PI,Nelson,29/04/2017,9.1,3040.0,4.0,2.0,2.0,746.0,161.0,1950.0,Moonee Valley,-37.7595,144.8993,Western Metropolitan,1543.0
Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,8/10/2016,13.8,3018.0,3.0,2.0,2.0,280.0,,1997.0,Hobsons Bay,-37.8734,144.8143,Western Metropolitan,5301.0
Balwyn,1/74 Balwyn Rd,3,t,1100000.0,S,hockingstuart,28/05/2016,9.7,3103.0,3.0,2.0,1.0,259.0,,1940.0,Boroondara,-37.8161,145.0809,Southern Metropolitan,5682.0
Cheltenham,38 Fairview Av,3,h,1201000.0,S,Ray,16/09/2017,17.9,3192.0,3.0,2.0,3.0,638.0,156.0,1960.0,,-37.95569,145.06588,Southern Metropolitan,9758.0
Balwyn North,45A Helston St,4,h,1460000.0,VB,hockingstuart,12/08/2017,9.7,3104.0,4.0,2.0,2.0,433.0,185.0,1955.0,Boroondara,-37.78368,145.09545,Southern Metropolitan,7809.0
Brunswick West,42 Whitby St,4,h,930000.0,S,Nelson,4/06/2016,5.9,3055.0,4.0,2.0,2.0,299.0,,,Moreland,-37.764,144.9454,Northern Metropolitan,7082.0
Ascot Vale,30 Milton St,3,h,865000.0,PI,Nelson,27/05/2017,4.3,3032.0,3.0,1.0,0.0,217.0,,1910.0,Moonee Valley,-37.77391,144.92151,Western Metropolitan,6567.0
Sunbury,13 McComb St,4,h,410000.0,PI,Brad,8/07/2017,31.7,3429.0,4.0,2.0,2.0,587.0,164.0,1986.0,Hume,-37.58231,144.69961999999995,Western Metropolitan,14092.0
Sunshine North,6 Middlesex St,3,h,808000.0,S,Sweeney,10/12/2016,13.3,3020.0,3.0,1.0,2.0,692.0,,,Brimbank,-37.771,144.8428,Western Metropolitan,4217.0
Greensborough,6 Murumba St,4,h,865000.0,S,Morrison,16/09/2017,16.1,3088.0,4.0,2.0,2.0,734.0,211.0,1980.0,,-37.6929,145.1272,Northern Metropolitan,8524.0
Seaholme,1/27 Noordenne Av,1,u,312000.0,S,RT,29/07/2017,11.0,3018.0,1.0,1.0,0.0,0.0,,,Hobsons Bay,-37.86007,144.84578,Western Metropolitan,852.0
Flemington,1/142 Shields St,1,u,280000.0,VB,Nelson,4/03/2017,4.4,3031.0,1.0,1.0,1.0,0.0,,1970.0,Moonee Valley,-37.7839,144.9347,Northern Metropolitan,3593.0
Carnegie,2/33 Oakleigh Rd,2,t,930000.0,S,hockingstuart,10/12/2016,11.4,3163.0,2.0,2.0,1.0,166.0,170.0,2009.0,Glen Eira,-37.8982,145.0488,Southern Metropolitan,7822.0
Sunshine,18 Benjamin St,3,h,860000.0,PI,Jas,15/07/2017,10.5,3020.0,3.0,1.0,3.0,446.0,126.0,1910.0,Brimbank,-37.79354,144.8328,Western Metropolitan,3755.0
Elsternwick,3/14 Sinclair St,2,u,834500.0,S,Biggin,29/07/2017,7.2,3185.0,2.0,1.0,2.0,538.0,92.0,2005.0,Glen Eira,-37.88295,145.00083,Southern Metropolitan,4898.0
Kensington,72 Bayswater Rd,3,h,1271000.0,S,Edward,7/05/2016,4.2,3031.0,3.0,1.0,1.0,284.0,113.0,1900.0,Melbourne,-37.7938,144.9228,Northern Metropolitan,5263.0
Collingwood,3A Blanche St,3,t,1308000.0,S,Jellis,8/04/2017,1.6,3066.0,3.0,1.0,2.0,125.0,,1990.0,Yarra,-37.7953,144.9864,Northern Metropolitan,4553.0
Balaclava,16/109 Hotham St,2,u,600000.0,VB,Buxton,3/09/2017,6.4,3183.0,2.0,1.0,1.0,2283.0,85.0,1980.0,,-37.87078,144.99898000000005,Southern Metropolitan,2952.0
Oak Park,20 Lex Gr,4,h,1005000.0,S,Stockdale,19/11/2016,11.5,3046.0,4.0,1.0,1.0,780.0,,,Moreland,-37.7182,144.9246,Northern Metropolitan,2651.0
Gisborne,60 Hamilton St,3,h,540000.0,SA,McDonald,17/06/2017,45.9,3437.0,3.0,1.0,2.0,665.0,110.0,1930.0,Macedon Ranges,-37.48701,144.58567,Northern Victoria,3376.0
West Footscray,90 Pitt St,4,h,837000.0,S,Sweeney,4/03/2017,8.2,3012.0,4.0,2.0,3.0,390.0,149.0,1950.0,Maribyrnong,-37.7926,144.8639,Western Metropolitan,5058.0
Brighton East,5/29 Pine St,2,u,700000.0,PI,hockingstuart,3/12/2016,10.7,3187.0,2.0,1.0,1.0,0.0,,,Bayside,-37.9195,145.0067,Southern Metropolitan,6938.0
Maidstone,2/56 Mitchell St,3,h,725000.0,S,Biggin,20/05/2017,9.2,3012.0,3.0,2.0,2.0,260.0,,,Maribyrnong,-37.7825,144.8833,Western Metropolitan,3873.0
Preston,9 Ambon St,2,h,565000.0,S,hockingstuart,18/06/2016,8.8,3072.0,2.0,1.0,2.0,349.0,,1950.0,Darebin,-37.7351,145.0271,Northern Metropolitan,14577.0
Toorak,3 Mell St,5,h,2170000.0,S,Matthew,17/09/2016,4.6,3142.0,3.0,1.0,0.0,333.0,,,Stonnington,-37.8474,145.0063,Southern Metropolitan,7217.0
Hawthorn East,18 Carlyle St,4,h,3050000.0,S,Kay,11/03/2017,7.5,3123.0,4.0,3.0,1.0,710.0,,,Boroondara,-37.8187,145.0577,Southern Metropolitan,6482.0
Maribyrnong,22 The Grand,4,h,1510500.0,SP,Biggin,27/05/2017,4.3,3032.0,4.0,2.0,4.0,251.0,,,Maribyrnong,-37.7839,144.89431000000005,Western Metropolitan,4918.0
South Kingsville,1/39 New St,2,t,650000.0,SP,Greg,6/08/2016,9.1,3015.0,2.0,2.0,1.0,151.0,102.0,2011.0,Hobsons Bay,-37.8289,144.8671,Western Metropolitan,984.0
Maidstone,3 Crefden St,3,t,615000.0,S,Jas,3/09/2016,9.2,3012.0,3.0,2.0,2.0,165.0,161.0,2007.0,Maribyrnong,-37.7773,144.8725,Western Metropolitan,3873.0
Kensington,17/120 Newman St,3,t,967000.0,S,Edward,1/07/2017,3.4,3031.0,3.0,2.0,2.0,0.0,120.0,1999.0,Melbourne,-37.79482,144.92192,Northern Metropolitan,5263.0
Elsternwick,87 Orrong Rd,3,h,1750000.0,VB,Buxton,19/11/2016,8.5,3185.0,3.0,2.0,2.0,517.0,207.0,1900.0,Glen Eira,-37.8813,145.0063,Southern Metropolitan,4898.0
Footscray,13/2 Saltriver Pl,3,u,674000.0,S,Jellis,11/02/2017,6.4,3011.0,3.0,2.0,1.0,8680.0,,,Maribyrnong,-37.8016,144.9082,Western Metropolitan,7570.0
Yarraville,8 Gordon Pde,3,h,990000.0,S,Jas,6/05/2017,7.0,3013.0,3.0,1.0,2.0,340.0,119.0,1940.0,Maribyrnong,-37.8227,144.8827,Western Metropolitan,6543.0
Keilor East,26 Norwood Dr,3,h,705000.0,S,Nelson,28/05/2016,12.8,3033.0,3.0,1.0,2.0,616.0,201.0,1970.0,Moonee Valley,-37.7449,144.8533,Western Metropolitan,5629.0
Reservoir,40 Lockton Av,3,h,670000.0,S,hockingstuart,29/07/2017,12.0,3073.0,3.0,2.0,1.0,536.0,,1970.0,Darebin,-37.69505,144.98126000000005,Northern Metropolitan,21650.0
Aspendale,5/148 Nepean Hwy,3,t,805000.0,S,Buxton,15/07/2017,21.5,3195.0,3.0,2.0,2.0,0.0,164.0,2006.0,Kingston,-38.02768,145.10187,South-Eastern Metropolitan,2824.0
Yarraville,3 Cuming St,2,h,856000.0,S,Greg,4/06/2016,7.0,3013.0,2.0,1.0,1.0,261.0,100.0,1880.0,Maribyrnong,-37.8157,144.887,Western Metropolitan,6543.0
Camberwell,31 Kasouka Rd,3,h,2770000.0,S,Marshall,16/09/2017,7.7,3124.0,3.0,2.0,2.0,593.0,,1991.0,,-37.83176,145.0652,Southern Metropolitan,8920.0
Heidelberg Heights,14 Shelley St,2,h,665000.0,S,Jellis,6/05/2017,10.5,3081.0,2.0,1.0,1.0,263.0,84.0,1992.0,Banyule,-37.7428,145.0511,Eastern Metropolitan,2947.0
Windsor,6/213 Dandenong Rd,2,u,600000.0,S,hockingstuart,6/08/2016,5.1,3181.0,2.0,1.0,1.0,1043.0,,,Stonnington,-37.8581,144.9972,Southern Metropolitan,4380.0
Canterbury,6/124 Canterbury Rd,2,u,736000.0,S,Marshall,27/06/2016,9.0,3126.0,2.0,1.0,2.0,132.0,,,Boroondara,-37.8234,145.0731,Southern Metropolitan,3265.0
Westmeadows,9 Black St,3,h,582000.0,S,Red,26/08/2017,16.5,3049.0,3.0,2.0,2.0,256.0,,,,-37.67917,144.8939,Northern Metropolitan,2474.0
Reservoir,15 George St,3,h,800000.0,S,Barry,8/10/2016,11.2,3073.0,3.0,1.0,2.0,570.0,,1950.0,Darebin,-37.718,144.9999,Northern Metropolitan,21650.0
Moonee Ponds,53 Moore St,4,h,1305000.0,SP,Biggin,26/08/2017,6.2,3039.0,4.0,1.0,1.0,449.0,129.0,1910.0,,-37.77081,144.92074,Western Metropolitan,6232.0
Port Melbourne,25 Barak Rd,3,h,1900000.0,VB,Marshall,12/08/2017,3.5,3207.0,3.0,2.0,3.0,337.0,,,Port Phillip,-37.83802,144.92442,Southern Metropolitan,8648.0
Glen Iris,115 Tooronga Rd,2,h,1020000.0,SP,Jellis,12/11/2016,9.2,3146.0,2.0,1.0,0.0,251.0,,1910.0,Stonnington,-37.8627,145.0402,Southern Metropolitan,10412.0
Oak Park,4/13 Sylvester St,2,u,522000.0,S,Stockdale,8/10/2016,11.5,3046.0,2.0,1.0,1.0,161.0,91.0,2012.0,Moreland,-37.7204,144.9131,Northern Metropolitan,2651.0
Rosanna,2/236 Lower Plenty Rd,3,u,560000.0,VB,Miles,7/05/2016,11.4,3084.0,3.0,1.0,1.0,213.0,112.0,2000.0,Banyule,-37.7386,145.0733,Eastern Metropolitan,3540.0
Fawkner,10 Baird St,5,h,900000.0,VB,hockingstuart,12/08/2017,13.1,3060.0,5.0,3.0,4.0,663.0,,,Moreland,-37.70659000000001,144.97109,Northern Metropolitan,5070.0
